,text,title
74,明天有位从韩国进修回来的专家老师过来哦,Travel-Query
75,放一个惊悚小说地狱公寓来听,Audio-Play
76,查询一下爸爸去哪的相关视频,Travel-Query
77,用安卓市场下载豆瓣阅读,FilmTele-Play
78,随便播一个2021年晚上22点更新的动漫,Video-Play
79,据说每天吃一瓣儿新鲜蒜头脸上可保不再见粉刺,Music-Play
80,重复播放推理小说占星术杀人魔法的第三章,FilmTele-Play
81,从北京最快通往新疆的飞机是多久,Travel-Query
82,单曲循环英文版的吻别呢,Music-Play
83,打开吸尘器，我要打扫卫生,HomeAppliance-Control
84,给我续播西游记原著第五十二集听,FilmTele-Play
85,5月23号的蔚蓝星球纪录片给找下,Video-Play
86,怎么样自驾车去成都即快又不堵车呢,Travel-Query
87,圣诞除夕分别是星期几,Calendar-Query
88,夏永康表示数年间有很大转变变得越来越性感,FilmTele-Play
89,播放一首张小九的余香听听,Music-Play
90,把从天坛到北京火车站的步行和骑车路线都给我,Travel-Query
91,提醒我今天下午1点30分上网课的行程。,Alarm-Update
92,我想你现在就播放一个去年新出的玄幻剧给我看,FilmTele-Play
93,回放下这个台昨天放的越战越勇,Video-Play
94,给我唱一首2008年的奥运会的主题曲吧,Music-Play
95,今天晚上韶关附近有没有东风,Weather-Query
96,祭谷神节是什么时候,Calendar-Query
97,正点财经在哪个频道播出？往期视频回放一下啊,TVProgram-Play
98,请给我播放杜牧的诗词,Audio-Play
99,播放四川广播电台的新闻联播,Radio-Listen
100,我就是不知道手机号码而且家里又只有我的手机,Other
101,萧亚轩演英雌救帅跟洪金宝儿子学武功组图,Video-Play
102,为我放首侍神令影视原声碟专辑中的笛子吹奏轻音乐庭院,Music-Play
103,很想看俄罗斯的电视剧推荐视频随便播一个给我,Video-Play
104,请用英文播放小意达的花儿这个故事,Audio-Play
105,请帮我设置一个后天早上9点开始三周年庆典的闹钟。,Alarm-Update
106,他是不是对你有意思啊,FilmTele-Play
107,谁会是最期待的零点嘉宾,Music-Play
108,五月初下午会刮大风吗,Weather-Query
109,昆明去年下冰雹了吗,Weather-Query
110,我要循环的听小猪学本领这个故事,Audio-Play
111,我要听法语版的樵夫与仙女的故事,Audio-Play
112,准备做美食了，帮我打开蒸烤箱吧,HomeAppliance-Control
113,关闭今天8点的日程,Alarm-Update
114,给我打开前天更新的绝世战魂的第36集,Video-Play
115,二零一三年一月一号限行不,FilmTele-Play
116,给我播放仙侠类的有声漫画,Video-Play
117,我想再看一遍周三电视播出的妈妈为我嫁,TVProgram-Play
118,2月14日是农历几月几号,Calendar-Query
119,今天给我一部张艺谋拍的纪录片看一看,Video-Play
120,陈法拉生日男友送相机闻诸葛梓岐即封口图,FilmTele-Play
121,删除这个2个小时后关闭快手的备忘录,Alarm-Update
122,今年的萝卜节是星期几,Calendar-Query
123,我要听搞笑相声人在黑社会,Audio-Play
124,广西都市4月21日上午八点播放的是什么节目帮我看下,TVProgram-Play
125,5月1日的今日说法帮忙打开一下。,Video-Play
126,查下还有明天去北京的汽车票吗,Travel-Query
127,现在给我放一个英文版的稻草人的小故事,Audio-Play
128,你先可以给我定一个50分钟之后的闹铃,Alarm-Update
129,广播剧微微一笑很倾城的番外帮我播一下,Video-Play
130,立刻告诉我答案6月18日是阴历多少,Calendar-Query
131,上个星期一播出的天天网事给我回放一下,Video-Play
132,我的话费每月交五十不管打不打都一样收费,Alarm-Update
133,放一下钟汉良在2019年央视春晚上唱歌的视频,Video-Play
134,放岳云鹏孙越的爆笑相声我们不一样听听看,Audio-Play
135,关晓彤在2021北京卫视跨年演唱会上的表演视频给我回放一下,Video-Play
136,明天早晨要去晨跑，天气大概多少度？,Weather-Query
137,我想听戴萌版本的how we do it,Music-Play
138,请给我循环播放隔壁老樊的中文歌世本常态。,Music-Play
139,谁对谁错每个看到事实的人心中都有一杆秤,Other
140,告诉我一下厦门飞往伦敦的航班明天有票不,Travel-Query
141,上个月的26号体育赛事帮我回放下吧,Video-Play
142,狼殿下请播放最新更新的几集,FilmTele-Play
143,帮我创建个下周上午10点多开始双十二预热活动的闹钟。,Alarm-Update
144,我侄女想看公共卫视昨天播放过的战魂,TVProgram-Play
145,星期一是几号呢,Calendar-Query
146,将客厅灯光调为温馨模式好么,HomeAppliance-Control
147,闫妮叫自己的粉丝为娃很多场合她都会说感谢闫帮的娃对我的支持,Alarm-Update
148,陶虹顺产千金取名徐小宝老公徐峥傻笑图,FilmTele-Play
149,请不要在5月20号提醒我去找我朋友玩,Alarm-Update
150,近日徐帆在接受探班记者采访时对于丈夫的赞美照单全收,Video-Play
151,查一下这月雄安风从哪刮来的,Travel-Query
152,我们一起听毛不易的消愁吧,FilmTele-Play
153,好冷，帮我把空调的温度调高一点,HomeAppliance-Control
154,戏曲频道8点38生活早参考-特别节目查找出来播放一下,Radio-Listen
155,你赶快查下星期四是哪天呢,Calendar-Query
156,CSGO比赛的视频播一下,Video-Play
157,放一下2020年春晚韩雪的小品爱在路上等会听,Video-Play
158,你能给我播放18年电影西红柿首富吗,FilmTele-Play
159,帮我找下有没有关于北京的纪录片,Video-Play
160,给小朋友们放一个北京文艺广播的开心茶馆,Radio-Listen
161,能帮我新增一个周六晚上23点的闹铃吗,Alarm-Update
162,张黎答保守期望收回成本票房最好多多益善,FilmTele-Play
163,请接着给我续播著名小说包法利夫人的第三章英文版的,Audio-Play
164,一个小时后关闭厨房的灯,HomeAppliance-Control
165,调频收听孙畅的新闻天天谈,Radio-Listen
166,我想看湖南卫视青春剧场的刘诗诗主演的亲爱的自己,FilmTele-Play
167,催眠的歌曲给我随机来几首,Music-Play
168,我要查1月1日去西安的火车票。,Travel-Query
169,立即查一下阴历的几月几号是8月4日啊,Calendar-Query
170,周六下午2点半送孩子上钢琴课的备忘录设定一下。,Alarm-Update
171,帮我把空调设置为制冷模式好吗,HomeAppliance-Control
172,本报讯记者康沛郭延冰前晚光线娱乐大典在人大如论讲堂举行,Radio-Listen
173,帮我记一下5月30号下午2点去买水果,Alarm-Update
174,明天5:15不要忘了提醒我给我哥发微信,Alarm-Update
175,下周三到周五宁波那边有雨吗,Weather-Query
176,赶快查下星期二是多少号呢,Calendar-Query
177,关掉扫地机器人，让它停止工作,HomeAppliance-Control
178,我现在想新增一个1月27号凌晨三点的闹钟,Alarm-Update
179,悬崖之上是谁唱的视频播放一下,Video-Play
180,只是不知道今年老赵还能为大家的年夜饭端上一盘啥菜,FilmTele-Play
181,定一个周三下午5点教室打扫的提醒。,Alarm-Update
182,创建一个25号买飞机票的日程,Alarm-Update
183,抽烟机关了，帮我开一下，我要用,HomeAppliance-Control
184,请给我续播德国小说阴谋与爱情的第三章德语版的,Audio-Play
185,想喝皮蛋瘦肉粥了，帮我切换到电饭煲的煮粥模式好吗,HomeAppliance-Control
186,你可真行昨天又买了几件衣服,Other
187,放麦琪的礼物这部小说的英文版来给我们听一下,Audio-Play
188,想听专辑了，就听我的世界守则吧，王一博的,Music-Play
189,帮我看看5月4日是阴历多少,Calendar-Query
190,你能给我来一部去年的电视剧燕云台吗,FilmTele-Play
191,找出5.31日23点30播出的动漫,Video-Play
192,周末句容不会有暴风雪吧,Weather-Query
193,回放一下早上9点28播放的绝密使命第三集,TVProgram-Play
194,你几号的飞机票回去来着,Music-Play
195,查询CA四幺零幺和CA四幺幺三的状态,Radio-Listen
196,放一首小提琴曲梁祝,Music-Play
197,能播放一下唐嫣和钟汉良的何以笙箫默吗,Radio-Listen
198,帮我把空调温度调到18度好不好呀,HomeAppliance-Control
199,还有一个星期就元旦了,Calendar-Query
200,喵多哩新剧场是不是在10点就结束了帮我看下,TVProgram-Play
201,现在股市这样我又不舍得放也不敢再入市,FilmTele-Play
202,播放河北音乐广播依然动听,Radio-Listen
203,凄美悬疑又带点喜剧色彩的文艺片如梦将由香港大导罗卓瑶掌镜,FilmTele-Play
204,我附近有自动取款机吗,Travel-Query
205,你做的事情很杂像个社会活动家,Other
206,陈楚生与天娱官司缠身,FilmTele-Play
207,一分钱太有名了为此潘振声有了一分钱爷爷这个雅号,Other
208,二有背景的妖怪都被救走,FilmTele-Play
209,麻烦问一下清明节是什么时候,Calendar-Query
210,在4月10号记得提醒我缴宽带费,Alarm-Update
211,巴彦淖尔交通广播正在播放的家有儿女节目快帮我放一下,Radio-Listen
212,我要听俄语版的哈姆莱特,Music-Play
213,把冰箱的制冷模式打开吧,HomeAppliance-Control
214,能来一个频率是九四点七的经典947吗,Radio-Listen
215,招行网银怎么买理财产品,Travel-Query
216,帮我打开客厅的灯怎么样,HomeAppliance-Control
217,林熙蕾他的戏比较阳刚但女演员也是必要的,FilmTele-Play
218,提醒我20号上午做美容,Alarm-Update
219,之后将是历时一年的拍摄期,FilmTele-Play
220,帮我查一查广州明天的温度是多少。,Weather-Query
221,立刻让我知道今天有焦作始发的大巴吗,Travel-Query
222,听会儿宁鹏的I到黎明时在FM95点5,Radio-Listen
223,阿拉伯语的治愈歌曲来一首呢,Music-Play
224,我想问一下昨天是几号,Calendar-Query
225,好歹可以让歌迷们用来暂时解一下难耐的饥渴,FilmTele-Play
226,帮我查下我老婆现在在哪里,Travel-Query
227,我现在想听体育类的广播，给我调到南京体育广播,Radio-Listen
228,给我播放一下公共台的中医养生堂,FilmTele-Play
229,播放一下CCTV1生活提示的上期回放,Video-Play
230,2021年龚俊唱歌的视频找一个出来,Video-Play
231,帮我查询一下十点到上海的机票还有吗,Travel-Query
232,黑色幽默引发理性思考贾樟柯微博说火车快开最配王宝强,Travel-Query
233,帮我我找到陕西戏曲广播按时间顺序播放里面的花鼓戏节目,Radio-Listen
234,设置每天7点半的闹铃备注点电子运维,Alarm-Update
235,把唐嫣主演的锦绣未央放一下,FilmTele-Play
236,播放广播剧全球高考,FilmTele-Play
237,感谢分享生活有你更精彩,Radio-Listen
238,制定个明天上午8点看妇产科医生的闹钟。,Alarm-Update
239,我想听九三点九的江浦人民广播电台,Radio-Listen
240,再定一个10点05的闹钟,Alarm-Update
241,生日快乐 从第一个挨个儿放,Music-Play
242,最近一周重庆会有大风出现吗,Weather-Query
243,按顺序播放动漫唯我独尊的全部35集,Video-Play
244,给我播放下贾玲和张小斐拍摄你好李焕英的现场花絮,Video-Play
245,三国演义能继续看吗,FilmTele-Play
246,昨天的足球甲级联赛运动员采访视频有吗,Video-Play
247,接着给我续播小时代原著书里的第二十集,FilmTele-Play
248,我想看一下广西二手车信息,FilmTele-Play
249,有声小说第一序列播放一下,Audio-Play
250,高以翔和焦俊艳演的那个遇见王沥川我想看看,FilmTele-Play
251,医师资格考试报名网址,FilmTele-Play
252,帮我改一下9号上午备忘录,Alarm-Update
253,查询一下去牡丹江的机票还有几张,Travel-Query
254,频率是一零一点七的动感101听一下吧,Radio-Listen
255,石景山区鲁谷村小区房价,FilmTele-Play
256,打开江苏教育，想看下江南文脉了解江南文化,TVProgram-Play
257,不要开启周一到周三的闹铃,Alarm-Update
258,明天你要提醒我烧香,Alarm-Update
259,我想看新闻频道的法制在线帮我回放一下往期视频,Video-Play
260,找一下最近的咖啡店怎么走,Travel-Query
261,帮我播放一下爱在星空下麻烦放一下,FilmTele-Play
262,给我放一下2020年山东春晚小品想说爱你不容易听一下,Video-Play
263,帮我播个剧让我听懂你的语言,FilmTele-Play
264,四夜奇谭点击破二一亿开创网络电影元年图,FilmTele-Play
265,找一下乡野下饭魂纪录片吃饭可以看,Video-Play
266,揭秘黄奕霍思燕三角情债娱乐圈女星恩怨不休,FilmTele-Play
267,放一个猴子捞月亮的故事给我听吧,Audio-Play
268,扫地机器人现在关机吧，我想安静一会,HomeAppliance-Control
269,沈阳近期有雨吗,Weather-Query
270,闹钟设成工作日早上六点起床,Alarm-Update
271,播放一个文彩元主演的电视剧的介绍视频,Video-Play
272,听听安徽人民广播帮我拨一下95点5,Radio-Listen
273,不走高速去昆明怎么走啊,Travel-Query
274,下面开始循环播放红鞋这个故事,Audio-Play
275,冰箱冷藏室温度再降两度行不行呀,HomeAppliance-Control
276,卧室空调调成28度行不行嘛,HomeAppliance-Control
277,帮我转到今天晚上六点的广西天气预报,Radio-Listen
278,请帮忙将7月10号的提醒修改为下午2点提醒,Alarm-Update
279,播放50年代的摇滚乐曲,Music-Play
280,德语歌随便给我唱一首吧,Music-Play
281,朱丹讳疾忌医家中挨腹痛,FilmTele-Play
282,最快到达公司的路线是哪条呢,Travel-Query
283,好久都没有听花粥创作的盗将行了，播放一下哦,Music-Play
284,晚上外面湿度越来越高，能下大雨不,Weather-Query
285,陈凯歌是电影导师张艺谋激发创作欲,FilmTele-Play
286,找到五十年代的草原之夜然后播放,Music-Play
287,总之他们对的批评一直都没停下来过,Music-Play
288,查下这雨下多久啊,Weather-Query
289,我可以看看明天海淀的气温指数吗,Weather-Query
290,在电视剧频道播出的小舍得帮我回放一下,TVProgram-Play
291,明天早上10点40建立备忘录我买杯子,Alarm-Update
292,单曲循环一首英文歌曲吧,Music-Play
293,给我播放2021中国女子足球锦标赛,Video-Play
294,独特内涵受品牌青睐亲民代言受拥护,FilmTele-Play
295,上星期五的电影频道放的什么帮我倒退一下,Radio-Listen
296,播一下晚上22点更新的理想照耀中国的拍摄花絮,Video-Play
297,立刻找出来Inspiron 灵越 15 Plus的测评视频,Video-Play
298,找到city party zone电台节目就晚上11点开始的那个,Radio-Listen
299,能否帮我把冰箱冷藏室调到4度呢,HomeAppliance-Control
300,帮我打开南昌新闻综合的每日新闻,Radio-Listen
301,查询明天成都气温如何,Weather-Query
302,我想看CCTV1星光大道的上一期节目,Video-Play
303,希望可以成为你的朋友,Other
304,能不能帮我建一个3月2号去上班的提醒,Alarm-Update
305,2013年的唐山大地震电影有吗想看下,FilmTele-Play
306,快查下17点有邢台市始发的长途大巴不,Travel-Query
307,我回家了现在上火车了有事联系我我手机不变,Other
308,在这个意义上弗兰科似乎生活在一个拓展了的公众青春期,Other
309,找一个科比的篮球比赛视频来看,Video-Play
310,我想马上就收听FM107.8的怀旧好声音电台,Radio-Listen
311,记录明天海南气温差,Weather-Query
312,给小孩播骆宾王的咏鹅,Music-Play
313,2021年都市爱情电视剧你是我的城池营垒的幕后故事播放一下,Video-Play
314,要流量还是要这个收费的呀,FilmTele-Play
315,查询明天大连紫外线会偏高吗,Weather-Query
316,经纪人账号被盗用多位艺人资料疑遭外泄,FilmTele-Play
317,大声告诉我农历的九月初八和农历九月初九哪天是重阳节呢,Calendar-Query
318,我想去拉萨帮我看看还有没有机票,Travel-Query
319,搜索一下少儿频道昨天下午播出的节目,TVProgram-Play
320,作者是淮上的广播剧播放一个给我,Audio-Play
321,CCTV7正在直播的炮神40/40帮我切换一下,TVProgram-Play
322,快大声让我知道1月12日是星期一还是星期四呢,Calendar-Query
323,播放乔家大院的有声小说,Audio-Play
324,上个星期一的有个台播的天天网事给我打开下,Video-Play
325,张国强透露为了把儿子和女友都照顾到他一年只接两三部戏,FilmTele-Play
326,暂时关闭自动报警系统,HomeAppliance-Control
327,播个2008年之前的偶像剧,FilmTele-Play
328,帮我打开一个百度的网页,HomeAppliance-Control
329,华商报大家都非常关心你你现在的状况怎么样了,Other
330,在音乐之声找一个楚悦主持的音乐节目,Radio-Listen
331,二零零四雅典世界大同,FilmTele-Play
332,短信营业厅当月话费查询是不是手机固话费用,Weather-Query
333,继续播惊悚网文绝望教室的第三章,FilmTele-Play
334,想让空气流通下，帮我把浴霸切换到换气模式,HomeAppliance-Control
335,原来黄海波也迷灰太狼拍照之后他还央求摄影老师给他也传张照片,FilmTele-Play
336,电视音量设置为最小可以吗,HomeAppliance-Control
337,找个今天的八卦娱乐视频放来看看,Video-Play
338,我现在想听莫言的红高粱第二章,Music-Play
339,校园类的广播剧随便播放一个,FilmTele-Play
340,有声的紫襟说的灵异的小说帮我播一下,Radio-Listen
341,B站上的哔计划的相关视频快点给我播放,Video-Play
342,唐国强夫人不可能拿灾区人民的钱,FilmTele-Play
343,播一段鲁迅的经典作品来听,Music-Play
344,几月几号是开斋节,Calendar-Query
345,我就想把空调开到二十二度,HomeAppliance-Control
346,这位导演正在考虑要不要接受霍比特人剧组的邀请,Other
347,生活家第17集电视正播呢帮我调一下吧,HomeAppliance-Control
348,查查明天是什么节日吗,Calendar-Query
349,FM969东营生活广播的节目快点儿帮我放一下,Radio-Listen
350,空调太高温度调低点儿,HomeAppliance-Control
351,有去年上的喜剧类电影嘛，播放一个吧,FilmTele-Play
352,帮我调到新闻综合我想看看三农时空,Radio-Listen
353,给我放白雪公主的故事来听英文版的,Audio-Play
354,记得大后天早上八点叫我接电话,Alarm-Update
355,能不能告诉我明天海淀气温指数怎么样,Weather-Query
356,天气好热啊，打开中央空调吧,HomeAppliance-Control
357,查几部B站的高分纪录片来看看,Video-Play
358,十年不算什么二十年三十年后再论成败,FilmTele-Play
359,星期几是腊八节,Calendar-Query
360,我想你给我收听频率是九三点九的广东人民广播电台音乐台,Radio-Listen
361,这样吧你把具体的地址给我,Other
362,查下告诉我济南发往潍坊的大巴明天有没有票,Travel-Query
363,放千里共良宵就是中国之声的,Radio-Listen
364,林俊杰的歌曲MV帮我搜索一下,Video-Play
365,徐小明获聘任客座教授将宝贵知识传授新传媒人,Other
366,收听浙江广播电台的职场江湖,Radio-Listen
367,请播放日本推理小说向日葵不开的夏天,FilmTele-Play
368,再有五分钟我就要收听FM95.8的山西经济广播,Radio-Listen
369,放一个赵本山的小品给我听,Audio-Play
370,明天海淀还是雷雨天气吗,Weather-Query
371,我需要你播放音乐类的湖北人民广播电台交通音乐台,Radio-Listen
372,有最热门的科幻动漫吧随机播放一个吧,FilmTele-Play
373,请播小E的月半小夜电台,Radio-Listen
374,她表示自己今年拍了两部戏都拒绝使用一次性筷子以贯彻环保理念,Other
375,新浪娱乐你说这个让我想到尔东升,Other
376,太安静了，帮我打开电视机,HomeAppliance-Control
377,对于自己的此次转型胡军也觉得他真的太完美了,Other
378,石家庄今天晚上会有暴雨吗,Weather-Query
379,我想知道石家庄到北京有没有机票,Travel-Query
380,我需要你告诉我温州开往北京的高铁今天有票吗,Travel-Query
381,收听频率是八七点七的孝感电台交通音乐台可以吗,Radio-Listen
382,速度查一下沈阳飞烟台的飞机起飞了吗,Travel-Query
383,橙意购开始了吗帮我打开娱乐看看吧,TVProgram-Play
384,李荣浩李白播放一下呗,Music-Play
385,不是开了个研究所就代表科学和权威了,Other
386,明天青岛可能会下雨吗,Weather-Query
387,播放连丽如讲的东汉演义,FilmTele-Play
388,我要听九十点零的常州人民广播电台,Radio-Listen
389,放德语版的很恐怖的那个小说三口棺材,Audio-Play
390,播放玛格丽特米切尔的小说飘,Audio-Play
391,是不是厦门飞天津的飞机已经起飞了,Travel-Query
392,请续播阴谋与爱情的第五章小说,Audio-Play
393,添一个1:40喊我去打点滴的提醒,Alarm-Update
394,广西都市4月21日上午八点播放的是什么节目我想看下,TVProgram-Play
395,播一下全民目击这部小说给我听一下,Audio-Play
396,美国奇幻电影除了哈利波特，播放什么都可以,FilmTele-Play
397,星期几是月亮节,Calendar-Query
398,明天是不是多云,Weather-Query
399,我不是很清楚他家里的事不过大部分男人都喜欢打游戏啦,FilmTele-Play
400,快给我播登幽州台歌这首诗,Audio-Play
401,你的空调风速能不能变小,HomeAppliance-Control
402,王力宏火力全开里的歌曲随机来一首可以不,Music-Play
403,能不能不要每天10点提醒我了,Alarm-Update
404,快乐与痛苦并存的意义,Radio-Listen
405,可以帮我回放今早七点的西安新闻吗我想看下,TVProgram-Play
406,麻烦播放一首梁静茹的可惜不是你。,Music-Play
407,CCTV3综艺频道综艺喜乐汇-2020-281帮我查询一下,TVProgram-Play
408,七夕那天是在几月,Calendar-Query
409,二保罗史密斯马克西莫公园乐队,Music-Play
410,小孩要听一去二三里这首诗,Music-Play
411,帮我弟弟循环播放一个儿歌歌曲MV,Music-Play
412,你知道虎牙直播和斗鱼直播要合并的消息吗,Video-Play
413,我要求你快点查一下星期一是哪天啊,Calendar-Query
414,福彩双色球第二十二期号码多少多谢,Weather-Query
415,请记住在5月6号通知我打消费者热线投诉,Alarm-Update
416,设定一个上午10点去看房的闹钟,Alarm-Update
417,明天早上收拾东西这个备忘录你帮我建好了吗,Alarm-Update
418,帮我调到河南新闻看看今天的整点新闻节放了没,Radio-Listen
419,播放一下张鹤伦讲过的相声,Audio-Play
420,请给我放一下俄语版的大林和小林,Audio-Play
421,帮我打开生活台，我想看下今天下午播放些什么,TVProgram-Play
422,请查下青年节是几月几号,Calendar-Query
423,有关于中国女排成长史的纪录片么播放一下,Video-Play
424,播放广州人名广播电台风云962,FilmTele-Play
425,给我放俄语版的沼泽王的女儿等会开车路上听,Music-Play
426,请帮我播放海峡之声广播电台 频率是九零点六,Radio-Listen
427,调到经济之声的新闻节目天下财经吧,Radio-Listen
428,我想来一首听毛不易的消愁。,Music-Play
429,电视上正在直播呢世界斯诺克锦标赛切换一下,Video-Play
430,制定个周日上午8点打高尔夫球的闹铃。,Alarm-Update
431,姐姐大玉在吗我想她啦跟她聊会儿天嘿嘿,Other
432,赶紧告诉我明天有飞石家庄的飞机吗,Travel-Query
433,可不可以把冰箱变温抽屉开到果蔬档呢,HomeAppliance-Control
434,播放一首薛之谦的哑巴。,Music-Play
435,但原来在制作方面高清直播也与平日的直播不同,Video-Play
436,下个月是几月份,Calendar-Query
437,明天合肥会下冰雹吗,Weather-Query
438,明天早上七点十分你还得起床上学了,Alarm-Update
439,查一下4月3日是星期几,Calendar-Query
440,泰戈尔飞鸟集里的诗我想听，英文版的,Music-Play
441,潇湘晨报是受众群让你放弃电视剧,Calendar-Query
442,而更多精彩内容留待您自己观赏,FilmTele-Play
443,设置一个16号下午2点去开会的闹钟,Alarm-Update
444,兰州有雨吗,Weather-Query
445,给我循环播放那个动漫哪吒闹海,Video-Play
446,将间隔50分钟提醒我一次改为间隔2小时,Alarm-Update
447,能不能打开人体传感器了,HomeAppliance-Control
448,续播烽火戏诸侯的连载的小说天神下凡的第五章来听,Audio-Play
449,继续收听王思元的电影解说,Radio-Listen
450,想听宋祖英的民歌映山红了,Music-Play
451,电话费很贵你知道吗以后发信息好吗求你了,Other
452,就是林万成主持的神州之声放一下吧,Radio-Listen
453,明天下午四点经济有财经新闻吗帮我看下,TVProgram-Play
454,帮我回放下吉林综艺今天的凌晨剧场,TVProgram-Play
455,12点的新闻30分正在直播中,TVProgram-Play
456,海南穿衣指数多少,Weather-Query
457,来一个频率是八九点一的中国之声,Radio-Listen
458,唐伯虎点秋香这部由周星驰和巩俐主演的电影麻烦播放。,FilmTele-Play
459,帮我查下珠海开往佛山的普快出发了吗,Travel-Query
460,到融创茂业的路有几条啊,Travel-Query
461,过去很多剧集塑造的小三形象都是妖艳的女人,FilmTele-Play
462,邢台明天是晴天吗,Weather-Query
463,原色专辑前戏立刻播放呢,Music-Play
464,武当山市下明天武当山市下雨天吗,Weather-Query
465,请帮我播放5月23日NBA比赛的现场情况,Video-Play
466,我的红太狼你在干嘛呢,Music-Play
467,傅欣瑶在中国新歌声唱的消失的音乐视频还能找到吗,Video-Play
468,江苏卫视2017年跨年演唱会薛之谦唱演员的视频,Video-Play
469,有没有张译的谍战片看看,FilmTele-Play
470,播放我最喜欢的明星李易峰唱的剑伤。,FilmTele-Play
471,11月25号是农历的什么时候,Calendar-Query
472,现场仅有寥寥粉丝前来为偶像接驾,Video-Play
473,提醒我周二下午去学校开家长会。,Alarm-Update
474,把明天下午3点45分去看装修屋子的闹钟设定好。,Alarm-Update
475,刘雨欣那个直播卖鸡的视频还能找得到吗,Video-Play
